,id,listing_url,name,prop_type,room_type,bed_type,min_nights,max_nights,cancel_pol,accommodates,bedrooms,beds,no_of_reviews,bathrooms,price,cleaning_fee,extra_ppl,guests_incl,picture_url,review_sc_rtg,host_id,host_name,host_resp_time,host_resp_rate,host_super_host,host_id_verified,amenities,addr_loctype,addr_longitude,addr_latitude,addr_loc_exact,addr_street,addr_govt_area,addr_country,avail_30,avail_60,avail_90,avail_365
0,1003530,https://www.airbnb.com/rooms/1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,1,70,1.0,135.0,135.0,0.0,1.0,https://a0.muscache.com/im/pictures/15074036/a97119ed_original.jpg?aki_policy=large,94,454250,Greta,within an hour,100,Yes,Yes," Air conditioning,Buzzer/wireless intercom,Dryer,Elevator,Family/kid friendly,Heating,Internet,Kitchen,Washer,Wifi,translation missing: en.hosting_amenity_50,",Point,-73.96523,40.79962,No,"New York, NY, United States",Upper West Side,United States,0,0,0,93
1,10133554,https://www.airbnb.com/rooms/10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1,2,29,1.0,121.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/68de30b5-ece5-42ab-8152-c1834d5e25fd.jpg?aki_policy=large,92,52004703,Mehmet Emin,within a few hours,100,No,Yes," Air conditioning,Building staff,Dryer,Essentials,Family/kid friendly,Fire extinguisher,Free parking on premises,Hair dryer,Hangers,Heating,Internet,Iron,Laptop friendly workspace,Self check-in,Shampoo,Smoking allowed,Suitable for events,Washer,Wifi,",Point,28.98009,41.0062,No,"Fatih , İstanbul, Turkey",Fatih,Turkey,30,60,90,365
2,10059872,https://www.airbnb.com/rooms/10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,2,3,1.0,699.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/4533a1dc-6fd8-4167-938d-391c6eebbc19.jpg?aki_policy=large,100,51624384,Giovanni,Not Specified,0,No,No," 24-hour check-in,Air conditioning,Doorman,Elevator,Essentials,Family/kid friendly,Heating,Kitchen,Smoking allowed,translation missing: en.hosting_amenity_50,",Point,114.15027,22.28158,Yes,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,Hong Kong,0,0,0,0
3,10084023,https://www.airbnb.com/rooms/10084023,City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1,1,81,1.0,181.0,50.0,100.0,1.0,https://a0.muscache.com/im/pictures/e6275515-7d73-4a70-bdc4-39ba6497e7d3.jpg?aki_policy=large,92,51744313,Yi,within an hour,100,No,Yes," Air conditioning,Dishes and silverware,Elevator,First aid kit,Hair dryer,Hangers,Host greets you,Hot water,Iron,Kitchen,Laptop friendly workspace,Long term stays allowed,Microwave,Refrigerator,Stove,TV,Wifi,",Point,114.1669,22.3314,Yes,"Hong Kong , 九龍, Hong Kong",Sham Shui Po,Hong Kong,14,24,40,220
4,10091713,https://www.airbnb.com/rooms/10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0,1,64,1.0,181.0,50.0,0.0,1.0,https://a0.muscache.com/im/pictures/f8eaba4e-d211-42fb-a3ca-887c0ff766f8.jpg?aki_policy=large,95,13764143,Ben,Not Specified,0,No,Yes," Bed linens,Dryer,Elevator,Essentials,Ethernet connection,Heating,Hot water,Iron,Kitchen,Laptop friendly workspace,Other,Shampoo,Smoke detector,TV,Washer,Wifi,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,",Point,151.21554,-33.88029,Yes,"Surry Hills, NSW, Australia",Sydney,Australia,0,0,0,0
5,10112159,https://www.airbnb.com/rooms/10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,2,1,1,0,1.0,40.0,50.0,25.0,2.0,https://a0.muscache.com/im/pictures/442ad717-ecf2-4bb5-a186-17a46cfb5f5f.jpg?aki_policy=large,0,2649859,Elisabete,Not Specified,0,No,Yes," Cable TV,Essentials,Family/kid friendly,Fire extinguisher,Hair dryer,Hangers,Hot water,Lock on bedroom door,Long term stays allowed,Other,Shampoo,Smoke detector,TV,Wifi,",Point,-8.60867,41.1543,No,"Porto, Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Portugal,30,60,87,359
6,10096773,https://www.airbnb.com/rooms/10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1,1,1,1.0,145.0,60.0,0.0,1.0,https://a0.muscache.com/im/pictures/ceb6e8b2-d006-4f1f-b0c4-001e48de11db.jpg?aki_policy=large,100,34607505,Scott,Not Specified,0,No,Yes," Carbon monoxide detector,Essentials,Fire extinguisher,Heating,Internet,Kitchen,Smoke detector,TV,Wifi,",Point,-74.00074,40.74577,Yes,"New York, NY, United States",Chelsea,United States,0,0,0,0
7,10140368,https://www.airbnb.com/rooms/10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1,1,239,1.0,45.0,0.0,10.0,1.0,https://a0.muscache.com/im/pictures/e15dbb07-8de4-4e4e-9217-1d0763419532.jpg?aki_policy=large,95,1017772,Lane,within an hour,100,Yes,Yes," Carbon monoxide detector,Essentials,Family/kid friendly,Free street parking,Hair dryer,Hangers,Heating,Host greets you,Hot water,Iron,Kitchen,Laptop friendly workspace,Lock on bedroom door,Private entrance,Shampoo,Smoke detector,Wifi,translation missing: en.hosting_amenity_50,",Point,-73.82257,40.71485,Yes,"Queens, NY, United States",Briarwood,United States,20,29,29,34
8,10021707,https://www.airbnb.com/rooms/10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1.5,40.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/72844c8c-fec2-440e-a752-bba9b268c361.jpg?aki_policy=large,100,11275734,Josh,Not Specified,0,No,Yes," Air conditioning,Buzzer/wireless intercom,Carbon monoxide detector,Essentials,Heating,Internet,Kitchen,Lock on bedroom door,Smoke detector,Wifi,",Point,-73.93615,40.69791,Yes,"Brooklyn, NY, United States",Bushwick,United States,0,0,0,0
9,10038496,https://www.airbnb.com/rooms/10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,3,70,2.0,119.0,150.0,40.0,3.0,https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large,98,51530266,Ana Valéria,within an hour,100,Yes,Yes," Air conditioning,Bed linens,Buzzer/wireless intercom,Cable TV,Coffee maker,Dishes and silverware,Doorman,Elevator,Essentials,Extra pillows and blankets,Family/kid friendly,Fire extinguisher,Hair dryer,Hangers,Host greets you,Hot water,Internet,Iron,Kitchen,Laptop friendly workspace,Long term stays allowed,Microwave,Oven,Paid parking off premises,Refrigerator,Smoking allowed,Stove,TV,Washer,Wide hallway clearance,Wifi,",Point,-43.190849194463404,-22.984339360067814,No,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Brazil,7,19,33,118
10,10059244,https://www.airbnb.com/rooms/10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0,1,0,1.0,43.0,0.0,12.0,1.0,https://a0.muscache.com/im/pictures/af5c069c-ef73-490a-9e47-b48c0ae47c2f.jpg?aki_policy=large,0,7140229,Caro,within an hour,100,No,No," Bed linens,Essentials,Free parking on premises,Heating,Hot water,Internet,Kitchen,Laptop friendly workspace,Shampoo,Smoke detector,TV,Washer,Wifi,",Point,-73.54949,45.54548,No,"Montréal, Québec, Canada",Mercier-Hochelaga-Maisonneuve,Canada,0,0,0,32
11,10116578,https://www.airbnb.com/rooms/10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,1,1125,flexible,5,3,3,0,1.5,933.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/96bb9ea5-a164-4fb6-a136-a21b168a72d7.jpg?aki_policy=large,0,51915770,Luiz Rodrigo,Not Specified,0,No,No," 24-hour check-in,Air conditioning,Buzzer/wireless intercom,Cable TV,Doorman,Elevator,Family/kid friendly,Free parking on premises,Iron,Kitchen,Washer,Wheelchair accessible,Wifi,",Point,-43.1825954762751,-22.930541460367934,No,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Brazil,30,60,90,365
12,10009999,https://www.airbnb.com/rooms/10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1,2,0,1.0,317.0,187.0,0.0,1.0,https://a0.muscache.com/im/pictures/5b408b9e-45da-4808-be65-4edc1f29c453.jpg?aki_policy=large,0,1282196,Ynaie,Not Specified,0,No,No," Buzzer/wireless intercom,Essentials,Family/kid friendly,First aid kit,Free parking on premises,Hair dryer,Hangers,Hot tub,Iron,Kitchen,Laptop friendly workspace,Smoking allowed,Washer,Wheelchair accessible,Wifi,",Point,-43.23074991429229,-22.966253551739655,Yes,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Brazil,0,0,0,0
13,10066928,https://www.airbnb.com/rooms/10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3,3,0,1.0,140.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/f208bdd7-bdab-4d4d-b529-8e6b1e5a83c1.jpg?aki_policy=large,0,9036477,Margaux,Not Specified,0,No,No," Dryer,Essentials,Family/kid friendly,Hair dryer,Hangers,Heating,Internet,Iron,Kitchen,Laptop friendly workspace,Shampoo,Washer,Wifi,",Point,-73.57383,45.52233,Yes,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Canada,0,0,0,0
